CommunityAreaNumber,CommunityAreaName,TeenBirths1999,TeenBirthRate1999,TeenBirths2000,TeenBirthRate2000,TeenBirths2001,TeenBirthRate2001,TeenBirths2002,TeenBirthRate2002,TeenBirths2003,TeenBirthRate2003,TeenBirths2004,TeenBirthRate2004,TeenBirths2005,TeenBirthRate2005,TeenBirths2006,TeenBirthRate2006,TeenBirths2007,TeenBirthRate2007,TeenBirths2008,TeenBirthRate2008,TeenBirths2009,TeenBirthRate2009
42,Woodlawn,120,105.7,116,102.2,97,84.3,77,66.1,93,78.8,75,62.8,87,71.8,94,76.7,84,67.7,84,66.9,65,51.1
43,South Shore,212,96.3,195,88.6,174,79.9,173,80.4,146,68.7,163,77.6,154,74.2,153,74.6,163,80.5,141,70.5,130,65.9
44,Chatham,113,96.5,90,76.9,78,66.7,72,61.6,91,78,65,55.8,68,58.4,85,73.1,92,79.2,84,72.4,79,68.2
45,Avalon Park,26,72.4,30,83.6,26,71.6,25,68.3,27,73,15,40.2,18,47.7,22,57.9,17,44.3,15,38.8,25,63.9
46,South Chicago,126,80.2,128,81.4,134,86.2,134,87.3,120,79.1,123,82.1,126,85.1,130,88.9,140,97,115,80.7,108,76.8
47,Burnside,12,105.3,15,131.6,10,86.2,7,59.3,10,83.3,14,114.8,11,88.7,14,112,12,94.5,14,108.5,9,68.7
48,Calumet Heights,29,56.9,23,45.1,30,59.5,26,52.2,25,50.7,22,45.2,20,41.6,24,50.5,27,57.6,21,45.3,18,39.3
49,Roseland,193,93.5,183,88.7,173,83.7,156,75.3,162,78.1,170,81.8,148,71.1,172,82.5,179,85.7,154,73.6,167,79.7
50,Pullman,36,112.1,35,109,24,75.9,21,67.3,26,84.7,14,46.2,23,77.2,20,68.3,22,76.1,20,70.4,19,67.9
51,South Deering,57,77.3,48,65.1,47,64.6,47,65.6,36,51,43,61.9,40,58.4,31,45.9,41,61.7,38,58.1,42,65.3
52,East Side,68,70.8,63,65.6,80,83.7,53,55.7,55,58,52,55.1,47,49.9,55,58.7,66,70.7,57,61.4,49,53
53,West Pullman,166,104.3,160,100.6,147,93.2,147,94.1,138,89.1,141,92,136,89.5,121,80.5,135,90.6,132,89.5,99,67.8
54,Riverdale,47,97.7,47,97.7,46,98.1,36,78.8,41,92.1,38,87.8,30,71.3,20,49,20,50.5,20,52.1,24,64.5
55,Hegewisch,8,26.2,11,36.1,14,46.1,7,23.1,10,33.1,9,29.9,7,23.3,10,33.3,17,56.9,12,40.3,14,47.1
56,Garfield Ridge,47,42.4,54,48.7,53,48,49,44.6,47,42.9,47,43.1,48,44.2,53,49,50,46.4,56,52.1,36,33.7
57,Archer Heights,26,64,23,56.7,25,59.4,29,66.7,29,64.4,42,90.5,28,58.5,28,56.7,37,72.8,31,59.3,27,50.3
