05/03/2016 09:30:00 PM,486,STREET,67
05/03/2016 07:00:00 PM,820,CHA PARKING LOT/GROUNDS,54
05/03/2016 07:00:00 PM,910,STREET,66
05/03/2016 07:00:00 PM,1305,MEDICAL/DENTAL OFFICE,56
05/03/2016 11:00:00 AM,2825,RESIDENCE,73
05/03/2016 07:00:00 PM,820,STREET,21
05/03/2016 05:30:00 PM,1310,RESTAURANT,32
05/03/2016 10:00:00 PM,1477,CHA PARKING LOT/GROUNDS,46
05/03/2016 09:00:00 PM,910,STREET,19
05/03/2016 09:00:00 PM,2820,RESIDENCE,60
05/03/2016 09:30:00 AM,910,STREET,43
05/03/2016 08:30:00 PM,820,STREET,10
05/03/2016 03:30:00 PM,1152,OTHER,8
05/03/2016 10:10:00 PM,486,RESIDENCE,68
05/03/2016 01:00:00 PM,810,STREET,8
05/03/2016 10:30:00 PM,810,RESIDENCE-GARAGE,7
05/04/2016 11:25:00 AM,1320,PARKING LOT/GARAGE(NON.RESID.),59
05/04/2016 11:15:00 AM,860,SMALL RETAIL STORE,44
05/03/2016 09:00:00 AM,1154,RESIDENCE,25
05/03/2016 08:30:00 PM,1320,STREET,23
05/03/2016 11:00:00 PM,1320,STREET,22
05/03/2016 07:30:00 PM,1310,OTHER,58
05/03/2016 01:30:00 PM,2820,APARTMENT,26
05/03/2016 07:30:00 PM,810,CTA TRAIN,32
05/03/2016 09:11:00 AM,1150,STREET,32
05/03/2016 06:30:00 AM,810,STREET,28
05/03/2016 06:30:00 PM,820,STREET,10
05/03/2016 05:40:00 PM,560,SIDEWALK,49
05/03/2016 10:00:00 AM,1310,RESIDENCE,45
05/03/2016 01:00:00 PM,1153,SMALL RETAIL STORE,30
05/03/2016 08:30:00 PM,910,OTHER,11
05/03/2016 04:07:00 PM,2850,SCHOOL@ PUBLIC@ BUILDING,40
05/03/2016 02:00:00 PM,820,STREET,71
05/03/2016 03:05:00 PM,460,SIDEWALK,49
05/03/2016 09:00:00 AM,810,APARTMENT,69
05/03/2016 12:30:00 AM,820,CTA TRAIN,31
05/03/2016 09:35:00 PM,560,HOSPITAL BUILDING/GROUNDS,3
05/03/2016 12:15:00 PM,820,APARTMENT,68
05/03/2016 08:30:00 PM,320,SIDEWALK,23
05/03/2016 09:00:00 AM,486,APARTMENT,15
05/03/2016 12:15:00 PM,460,SCHOOL@ PUBLIC@ BUILDING,43
05/03/2016 08:00:00 PM,810,STREET,10
05/03/2016 10:00:00 PM,910,STREET,2
05/04/2016 11:30:00 AM,1330,DRUG STORE,43
05/03/2016 07:15:00 PM,501A,RESIDENTIAL YARD (FRONT/BACK),77
05/04/2016 09:00:00 AM,810,STREET,8
05/03/2016 04:00:00 PM,620,RESIDENCE-GARAGE,30
05/04/2016 08:16:00 AM,580,STREET,63
05/03/2016 09:00:00 AM,486,APARTMENT,36
05/04/2016 05:00:00 AM,810,APARTMENT,23
05/03/2016 06:00:00 PM,1152,RESIDENCE,75
05/04/2016 11:58:00 AM,560,APARTMENT,23
05/04/2016 12:35:00 PM,860,GROCERY FOOD STORE,42
05/03/2016 07:15:00 PM,2840,SCHOOL@ PUBLIC@ BUILDING,25
05/03/2016 10:30:00 PM,610,RESIDENCE-GARAGE,45
05/03/2016 08:40:00 PM,2820,RESIDENCE,65
05/03/2016 06:30:00 PM,890,OTHER,66
05/03/2016 10:00:00 PM,890,RESIDENCE-GARAGE,15
05/03/2016 10:30:00 PM,630,RESIDENCE,17
05/03/2016 04:35:00 PM,1154,,6
05/03/2016 02:25:00 PM,890,APARTMENT,6
05/03/2016 06:10:00 PM,810,VEHICLE NON-COMMERCIAL,56
05/03/2016 02:00:00 PM,820,COLLEGE/UNIVERSITY GROUNDS,32
05/03/2016 06:00:00 PM,1310,RESIDENCE,45
05/03/2016 06:00:00 PM,460,STREET,44
05/03/2016 09:00:00 PM,820,STREET,60
05/03/2016 12:00:00 PM,1110,BANK,61
05/03/2016 10:22:00 PM,1320,VEHICLE NON-COMMERCIAL,46
05/03/2016 05:00:00 PM,820,RESIDENCE,77
05/04/2016 12:46:00 PM,1310,RESTAURANT,73
05/03/2016 11:00:00 AM,1154,APARTMENT,13
05/03/2016 09:00:00 PM,486,APARTMENT,25
05/03/2016 10:54:00 PM,1330,SMALL RETAIL STORE,25
05/03/2016 10:00:00 AM,890,OTHER,8
05/03/2016 10:30:00 PM,031A,SIDEWALK,30
05/03/2016 11:30:00 PM,910,STREET,31
05/03/2016 02:05:00 AM,880,BAR OR TAVERN,6
05/03/2016 04:30:00 PM,1320,STREET,44
05/03/2016 07:00:00 PM,890,ATHLETIC CLUB,6
05/03/2016 08:00:00 PM,820,STREET,24
05/03/2016 04:30:00 PM,810,APARTMENT,43
05/03/2016 07:40:00 AM,460,OTHER,33
05/03/2016 09:45:00 PM,486,RESIDENCE,38
05/03/2016 10:30:00 PM,1320,SPORTS ARENA/STADIUM,73
05/03/2016 09:30:00 PM,1320,STREET,6
05/03/2016 01:00:00 PM,860,SMALL RETAIL STORE,14
05/03/2016 01:30:00 AM,2826,RESIDENCE,68
05/03/2016 10:00:00 AM,1150,OTHER,7
05/03/2016 12:27:00 PM,1154,OTHER,33
05/03/2016 06:30:00 PM,910,STREET,22
05/03/2016 02:30:00 PM,620,APARTMENT,25
05/03/2016 11:25:00 PM,1320,STREET,28
05/03/2016 05:00:00 PM,890,APARTMENT,6
05/03/2016 02:00:00 PM,890,DRUG STORE,27
05/03/2016 08:00:00 AM,1154,,17
05/03/2016 06:00:00 PM,820,OTHER,77
05/03/2016 10:00:00 PM,820,STREET,40
05/03/2016 12:00:00 AM,2825,OTHER,8
05/03/2016 04:00:00 PM,560,OTHER,17
05/04/2016 08:00:00 AM,265,OTHER,28
05/04/2016 11:58:00 AM,1330,OTHER,43
05/04/2016 12:50:00 PM,1811,STREET,73
